ticketNumber|displayStatusName|closeFlag|isSlaBreached|isOverdue
UFN-70676|New|false|false|false
UFN-70664|New|false|false|false
UFN-70663|New|false|false|false
UFN-70662|New|false|false|false
UFN-70661|New|false|false|false
UFN-70660|New|false|false|false
UFN-70659|New|false|false|false
UFN-70652|New|false|false|false
UFN-70643|New|false|false|false
UFN-70642|New|false|false|false
UFN-70639|New|false|false|false
UFN-70638|New|false|false|false
UFN-70637|New|false|false|false
UFN-70636|New|false|false|false
UFN-70616|New|false|false|false
UFN-70614|New|false|false|false
UFN-70613|New|false|false|false
UFN-70611|New|false|false|false
UFN-70610|New|false|false|false
UFN-70609|New|false|false|false
UFN-70608|New|false|false|false
UFN-70607|New|false|false|false
UFN-70606|New|false|false|false
UFN-70605|New|false|false|false
UFN-70603|New|false|false|false
UFN-70599|New|false|false|false
UFN-70596|New|false|false|false
UFN-70595|New|false|false|false
UFN-70594|New|false|false|false
UFN-70593|New|false|false|false
UFN-70588|New|false|false|false
UFN-70587|New|false|false|false
UFN-70586|New|false|false|false
UFN-70585|New|false|false|false
UFN-70584|New|false|false|false
UFN-70580|New|false|false|false
UFN-70579|New|false|false|false
UFN-70574|New|false|false|false
UFN-70573|New|false|false|false
UFN-70572|New|false|false|false
UFN-70570|New|false|false|false
UFN-70565|New|false|false|false
UFN-70557|New|false|false|false
UFN-70556|New|false|false|false
UFN-70554|New|false|false|false
UFN-70550|New|false|false|false
UFN-70548|New|false|false|false
UFN-70537|New|false|false|false
UFN-70529|New|false|false|false
UFN-70513|New|false|false|false
UFN-70512|New|false|false|false
UFN-70503|New|false|false|false
UFN-70500|New|false|false|false
UFN-70497|New|false|false|false
UFN-70496|New|false|false|false
UFN-70495|New|false|false|false
UFN-70494|New|false|false|false
UFN-70493|New|false|false|false
UFN-70492|New|false|false|false
UFN-70491|New|false|false|false
UFN-70489|New|false|false|false
UFN-70481|New|false|false|false
UFN-70480|New|false|false|false
UFN-70475|New|false|false|false
UFN-70474|New|false|false|false
UFN-70473|New|false|false|false
UFN-70472|New|false|false|false
UFN-70471|New|false|false|false
UFN-70465|New|false|false|false
UFN-70464|New|false|false|false
UFN-70431|New|false|false|false
UFN-70428|New|false|false|false
